Default Report
Last Modified: 2020-08-21 16:10:40 MDT


"Q1 - You are receiving this survey as our initial investigation identified you as having experience in game development. This survey should take approximately 12 minutes to complete.
With this survey, we want to know your opinion regarding the types of bugs that are mentioned in update notes to video games.
Your participation is voluntary and confidential. You can withdraw at any time. We do not record any identifying information.
This survey is conducted by a team of computer science researchers from University of California, Irvine (UCI).
The results of this survey will be used in a scientific publication. Should you be interested in being informed about the outcome of this study or any resulting publication, please contact Andrew Truelove (truelova@uci.edu).
By clicking the button below, you acknowledge that your participation in the study is voluntary, you are 18 years of age, and that you are aware that you may choose to terminate your participation in the study at any time and for any reason.
Please note that this survey will be best displayed on a laptop or desktop computer.  Some features may be less compatible for use on a mobile device."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"You are receiving this survey as our initial investigation identified you as having experience in game development. This survey should take approximately 12 minutes to complete.
With this survey, we want to know your opinion regarding the types of bugs that are mentioned in update notes to video games.
Your participation is voluntary and confidential. You can withdraw at any time. We do not record any identifying information.
This survey is conducted by a team of computer science researchers from University of California, Irvine (UCI).
The results of this survey will be used in a scientific publication. Should you be interested in being informed about the outcome of this study or any resulting publication, please contact Andrew Truelove (truelova@uci.edu).
By clicking the button below, you acknowledge that your participation in the study is voluntary, you are 18 years of age, and that you are aware that you may choose to terminate your participation in the study at any time and for any reason.
Please note that this survey will be best displayed on a laptop or desktop computer.  Some features may be less compatible for use on a mobile device.",1.00,2.00,1.05,0.21,0.04,43

#,Answer,%,Count
1,"I consent, begin the study",95.35%,41
2,"I do not consent, I do not wish to participate",4.65%,2
,Total,100%,43

Q2 - Are you currently a professional game developer?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you currently a professional game developer?,1.00,2.00,1.92,0.27,0.07,37

#,Answer,%,Count
1,Yes,8.11%,3
2,No,91.89%,34
,Total,100%,37

Q3 - How many people are employed at your organization?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How many people are employed at your organization?,1.00,4.00,1.94,1.21,1.47,17

#,Answer,%,Count
1,1 - 49,52.94%,9
2,50 - 999,23.53%,4
3,"1,000 - 5,000",0.00%,0
4,"More than 5,000",23.53%,4
,Total,100%,17

Q4 - How many years of game development experience do you have?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How many years of game development experience do you have?,1.00,4.00,2.22,0.93,0.87,37

#,Answer,%,Count
1,Less than one year,24.32%,9
2,One to five years,40.54%,15
3,Five to ten years,24.32%,9
4,More than ten years,10.81%,4
,Total,100%,37

Q5 - Do you have experience fixing bugs in updates or patches to video games?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Do you have experience fixing bugs in updates or patches to video games?,1.00,2.00,1.11,0.31,0.10,37

#,Answer,%,Count
1,Yes,89.19%,33
2,No,10.81%,4
,Total,100%,37

"Q6 - → ""Action"" bugs are likely to have a severe negative impact on the game experience."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Response,1.00,3.00,1.38,0.55,0.30,29

#,Answer,%,Count
1,Strongly Agree,65.52%,19
2,Agree,31.03%,9
3,Neutral,3.45%,1
4,Disagree,0.00%,0
5,Strongly Disagree,0.00%,0
,Total,100%,29

"Q10 - → ""Artificial Intelligence"" bugs are likely to have a severe negative impact on the game experience."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Response,1.00,4.00,2.38,0.93,0.86,29

#,Answer,%,Count
1,Strongly Agree,17.24%,5
2,Agree,41.38%,12
3,Neutral,27.59%,8
4,Disagree,13.79%,4
5,Strongly Disagree,0.00%,0
,Total,100%,29

"Q11 - → ""Audio"" bugs are likely to have a severe negative impact on the game experience."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Response,1.00,5.00,2.90,1.16,1.33,29

#,Answer,%,Count
1,Strongly Agree,13.79%,4
2,Agree,27.59%,8
3,Neutral,17.24%,5
4,Disagree,37.93%,11
5,Strongly Disagree,3.45%,1
,Total,100%,29

"Q12 - → ""Bounds"" bugs are likely to have a severe negative impact on the game experience."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Response,1.00,5.00,2.72,1.41,1.99,29

#,Answer,%,Count
