Default Report
Last Modified: 2021-02-05 21:12:51 MST


"Q1 - You are receiving this survey as our initial investigation identified you as having experience in game development. This survey should take approximately 12 minutes to complete.
With this survey, we want to know your opinion regarding the types of bugs that are mentioned in update notes to video games.
Your participation is voluntary and confidential. You can withdraw at any time. We do not record any identifying information.
This survey is conducted by a team of computer science researchers from University of California, Irvine (UCI).
The results of this survey will be used in a scientific publication. Should you be interested in being informed about the outcome of this study or any resulting publication, please contact Andrew Truelove (truelova@uci.edu).
By clicking the button below, you acknowledge that your participation in the study is voluntary, you are 18 years of age, and that you are aware that you may choose to terminate your participation in the study at any time and for any reason.
Please note that this survey will be best displayed on a laptop or desktop computer.  Some features may be less compatible for use on a mobile device."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"You are receiving this survey as our initial investigation identified you as having experience in game development. This survey should take approximately 12 minutes to complete.
With this survey, we want to know your opinion regarding the types of bugs that are mentioned in update notes to video games.
Your participation is voluntary and confidential. You can withdraw at any time. We do not record any identifying information.
This survey is conducted by a team of computer science researchers from University of California, Irvine (UCI).
The results of this survey will be used in a scientific publication. Should you be interested in being informed about the outcome of this study or any resulting publication, please contact Andrew Truelove (truelova@uci.edu).
By clicking the button below, you acknowledge that your participation in the study is voluntary, you are 18 years of age, and that you are aware that you may choose to terminate your participation in the study at any time and for any reason.
Please note that this survey will be best displayed on a laptop or desktop computer.  Some features may be less compatible for use on a mobile device.",1.00,2.00,1.04,0.19,0.04,53

#,Answer,%,Count
1,"I consent, begin the study",96.23%,51
2,"I do not consent, I do not wish to participate",3.77%,2
,Total,100%,53

Q2 - Are you currently a professional game developer?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you currently a professional game developer?,1.00,2.00,1.91,0.28,0.08,47

#,Answer,%,Count
1,Yes,8.51%,4
2,No,91.49%,43
,Total,100%,47

Q3 - How many people are employed at your organization?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How many people are employed at your organization?,1.00,4.00,1.91,1.20,1.45,22

#,Answer,%,Count
1,1 - 49,54.55%,12
2,50 - 999,22.73%,5
3,"1,000 - 5,000",0.00%,0
4,"More than 5,000",22.73%,5
,Total,100%,22

Q4 - How many years of game development experience do you have?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How many years of game development experience do you have?,1.00,4.00,2.23,0.93,0.86,47

#,Answer,%,Count
1,Less than one year,23.40%,11
2,One to five years,40.43%,19
3,Five to ten years,25.53%,12
4,More than ten years,10.64%,5
,Total,100%,47

Q5 - Do you have experience fixing bugs in updates or patches to video games?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Do you have experience fixing bugs in updates or patches to video games?,1.00,2.00,1.17,0.38,0.14,47

#,Answer,%,Count
1,Yes,82.98%,39
2,No,17.02%,8
,Total,100%,47

"Q6 - → ""Action"" bugs are likely to have a severe negative impact on the game experience."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Response,1.00,3.00,1.38,0.54,0.30,32

#,Answer,%,Count
1,Strongly Agree,65.63%,21
2,Agree,31.25%,10
3,Neutral,3.13%,1
4,Disagree,0.00%,0
5,Strongly Disagree,0.00%,0
,Total,100%,32

"Q10 - → ""Artificial Intelligence"" bugs are likely to have a severe negative impact on the game experience."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Response,1.00,4.00,2.41,0.96,0.93,32

#,Answer,%,Count
1,Strongly Agree,18.75%,6
2,Agree,37.50%,12
3,Neutral,28.13%,9
4,Disagree,15.63%,5
5,Strongly Disagree,0.00%,0
,Total,100%,32

"Q11 - → ""Audio"" bugs are likely to have a severe negative impact on the game experience."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Response,1.00,5.00,2.84,1.18,1.38,32

#,Answer,%,Count
1,Strongly Agree,15.63%,5
2,Agree,28.13%,9
3,Neutral,15.63%,5
4,Disagree,37.50%,12
5,Strongly Disagree,3.13%,1
,Total,100%,32

"Q12 - → ""Bounds"" bugs are likely to have a severe negative impact on the game experience."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Response,1.00,5.00,2.66,1.38,1.91,32

#,Answer,%,Count
